survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,17.6331005,17.203100199999998,17.0622005,17.0172997,17.65489959716797,17.242399215698242,17.083099365234375,17.04330062866211,54.44890946,-27.59668523
PS1SN,18.3661995,17.287799800000002,16.8162994,16.600299800000002,18.385000228881836,17.311899185180664,16.833999633789062,16.622699737548828,54.49210023,-27.65533847
PS1SN,17.7406998,17.1089993,16.8500996,16.7402992,17.771400451660156,17.134899139404297,16.871599197387695,16.775100708007812,54.44927745,-27.75297992
PS1SN,17.756500199999998,17.4713001,17.393899899999997,17.3955994,17.770099639892578,17.515199661254883,17.424699783325195,17.42169952392578,54.48055761,-27.71346803
PS1SN,18.648000699999997,18.406700100000002,18.343099600000002,18.350799600000002,18.661800384521484,18.448299407958984,18.387300491333008,18.378599166870117,54.56102114,-27.74452454
PS1SN,18.0783005,18.1476002,18.2838001,18.387300500000002,18.07939910888672,18.209699630737305,18.30340003967285,18.408899307250977,54.55572234,-27.80505236
PS1SN,18.9724998,17.7441998,16.8859997,16.4866009,18.992799758911133,17.76129913330078,16.906099319458008,16.49970054626465,151.5802009,2.39063508
PS1SN,18.806600600000003,18.2653008,18.0529003,17.9769001,18.815799713134766,18.306400299072266,18.065900802612305,18.00670051574707,151.55781636,2.39072397
PS1SN,17.9344997,17.146400500000002,16.8320999,16.6854,17.956100463867188,17.184999465942383,16.860000610351562,16.726699829101562,151.41979238,2.18857208
PS1SN,17.9421997,17.457700699999997,17.2709007,17.202199899999997,17.963499069213867,17.50749969482422,17.302600860595703,17.232200622558594,151.42604078,2.2069021
PS1SN,17.868499800000002,17.2775002,17.051200899999998,16.9640007,17.897899627685547,17.323999404907227,17.0846004486084,16.991100311279297,151.49408496,2.25137913
PS1SN,18.9318008,17.9654007,17.4902,17.25,18.954700469970703,18.0039005279541,17.523399353027344,17.28380012512207,151.51030935,2.29585354
PS1SN,18.711500199999996,17.8551998,17.5296993,17.385099399999998,18.72719955444336,17.89229965209961,17.550399780273438,17.430500030517578,151.52160801,2.29932337
PS1SN,18.3188,17.7576008,17.5137997,17.4036999,18.342199325561523,17.79520034790039,17.53529930114746,17.44300079345703,151.49505973,2.18362164
PS1SN,18.3075008,17.541099499999998,17.2619991,17.135799399999996,18.332500457763672,17.575199127197266,17.28809928894043,17.16939926147461,151.30985621,2.17413472
PS1SN,18.0102005,17.5589008,17.404600100000003,17.351999300000003,18.029600143432617,17.57979965209961,17.430200576782227,17.385799407958984,151.27260024,2.15651538
PS1SN,18.0951996,17.5778999,17.3938007,17.3255005,18.112600326538086,17.608200073242188,17.425100326538086,17.35650062561035,151.42524436,2.1709731
PS1SN,18.3621006,17.6103992,17.3278008,17.2022991,18.378599166870117,17.650400161743164,17.364599227905273,17.22559928894043,151.35357444,2.19406723
